Code,Location,Year,"Avg. monthly wage, MX$","Total wages, MX$",Firms,Employment,Revealed comparative advantage,Distance,Opportunity gain
12,Guerrero,2006,,633.239990234375,2,5.329999923706055,0.013988985680043697,0.916234016418457,2.8721158504486084
12,Guerrero,2007,,0,0,0,0,0.9124971032142639,0
12,Guerrero,2008,,0,0,0,0,0.9097999930381775,0
12,Guerrero,2009,,155.5800018310547,1,2.0799999237060547,0.0063260626047849655,0.9155411124229431,2.6689929962158203
12,Guerrero,2010,,203.25,1,2.5799999237060547,0.00795375369489193,0.8640170097351074,2.5198757648468018
12,Guerrero,2011,,167.5,1,2.0799999237060547,0.006783214397728443,0.8678466081619263,3.2703773975372314
12,Guerrero,2012,,159.5800018310547,1,2,0.006968036759644747,0.8678466081619263,3.11195707321167
12,Guerrero,2013,,212.6699981689453,1,2.5799999237060547,0.008479220792651176,0.8678466081619263,3.156543016433716
12,Guerrero,2014,,182.6699981689453,1,3.869999885559082,0.013288219459354877,0.8731440901756287,3.128787040710449
13,Hidalgo,2004,,956184.6875,17,5465.81005859375,11.407299041748047,0.48087936639785767,0
13,Hidalgo,2005,,904494.4375,17,4926.5302734375,11.025182723999023,0.5684040188789368,0
13,Hidalgo,2006,,890526.9375,20,4625.97998046875,10.93409538269043,0.5868358016014099,0
13,Hidalgo,2007,,892255.375,19,4444.849609375,10.870984077453613,0.5684040188789368,0
13,Hidalgo,2008,,907786.3125,20,4421.080078125,10.93923568725586,0.5551010370254517,0
13,Hidalgo,2009,,832912.3125,20,4021.510009765625,10.830212593078613,0.5486693382263184,0
13,Hidalgo,2010,,904748.3125,19,4123.43017578125,10.871879577636719,0.5713460445404053,0
13,Hidalgo,2011,,965412.25,18,4208.64013671875,11.251363754272461,0.5834181308746338,0
13,Hidalgo,2012,,1062066.875,18,4467.6796875,12.025310516357422,0.5486693382263184,0
13,Hidalgo,2013,,1177599.75,18,4697.009765625,11.85908317565918,0.5486693382263184,0
13,Hidalgo,2014,,1129113.25,19,4317.5400390625,11.366650581359863,0.4855097532272339,0
14,Jalisco,2004,,296057.625,24,1426.52001953125,0.4572700560092926,0.6715874075889587,3.0157010555267334
14,Jalisco,2005,,288808.65625,23,1314.9300537109375,0.4468849003314972,0.6319938898086548,2.9978373050689697
14,Jalisco,2006,,254972.578125,23,1095.989990234375,0.38008853793144226,0.6477099657058716,2.945019245147705
14,Jalisco,2007,,126831.2578125,23,543.280029296875,0.19601963460445404,0.5322982668876648,2.6903762817382812
14,Jalisco,2008,,43032.87890625,23,320.91998291015625,0.1176956444978714,0.5217888355255127,2.9033875465393066
14,Jalisco,2009,,39322.34765625,22,312.17999267578125,0.1229519248008728,0.552226185798645,2.7179183959960938
14,Jalisco,2010,,40783.62109375,23,314.79998779296875,0.1211407259106636,0.5305098295211792,2.7339487075805664
14,Jalisco,2011,,48985.83984375,22,332.8899841308594,0.13102270662784576,0.49740028381347656,2.537109375
14,Jalisco,2012,,54708.1796875,19,337.7300109863281,0.13564836978912354,0.46496808528900146,2.463130235671997
14,Jalisco,2013,,69302.25,20,424.75,0.15890474617481232,0.44180214405059814,2.581561326980591
14,Jalisco,2014,,77074.4921875,21,459.79998779296875,0.18059183657169342,0.44605863094329834,2.373494863510132
15,Mexico,2004,,1820217.5,72,10194.66015625,3.114609718322754,0.13878178596496582,0
15,Mexico,2005,,1846349.75,68,9641.3896484375,3.148542881011963,0.08497500419616699,0
15,Mexico,2006,,1930170.5,69,9636.7294921875,3.2023725509643555,0.16351062059402466,0
15,Mexico,2007,,2013331,66,9704.439453125,3.331176996231079,0.06097412109375,0
15,Mexico,2008,,1979471.125,68,9342.9501953125,3.264739751815796,0.0328938364982605,0
15,Mexico,2009,,1861897.375,62,8837.2001953125,3.3836755752563477,0.1283891797065735,0
15,Mexico,2010,,2006307.625,61,8769.58984375,3.300581216812134,0.09204381704330444,0
15,Mexico,2011,,2103759.5,60,8542.8095703125,3.281646490097046,0.09021824598312378,0
15,Mexico,2012,,2073048,58,8010.18994140625,3.0944130420684814,0.1458163857460022,0
15,Mexico,2013,,2132931.25,55,7889.60986328125,2.930422067642212,0.1458163857460022,0
15,Mexico,2014,,2086861.25,59,7372.08984375,2.930577039718628,0.2126370072364807,0
16,Michoacan,2004,,11886.1298828125,7,125.49000549316406,0.14940132200717926,0.8836787343025208,3.146446704864502
16,Michoacan,2005,,8536.169921875,5,88.16999816894531,0.11058308929204941,0.8871568441390991,3.053356409072876
16,Michoacan,2006,,6841.85009765625,4,72.16999816894531,0.09311994165182114,0.891975998878479,2.8626670837402344
16,Michoacan,2007,,8236.330078125,5,88.44999694824219,0.11758044362068176,0.842944860458374,3.467212200164795
