Code,Industry,Parent,Year,"Avg. monthly wage, MX$","Total wages, MX$",Employment,Firms,Revealed comparative advantage,Complexity,Distance
4343,Wholesale trade of waste materials,Commerce,2014,,906722.3125,5415.22998046875,431,2.0115795135498047,0.04992343857884407,0.3730955123901367
4351,"Wholesale trade of agricultural, forestry and fishing machinery and equipment",Commerce,2014,,84913.75,364.2699890136719,24,0.40950310230255127,-0.021442633122205734,0.6337214708328247
4352,Wholesale trade of industrial machinery and equipment,Commerce,2014,,1889745.875,5126.8798828125,475,1.3510617017745972,0.03489743173122406,0.5226825475692749
4353,Wholesale trade of commercial and service industry machinery and equipment,Commerce,2014,,714760.6875,3154.85986328125,331,1.48446524143219,0.052309125661849976,0.5525439977645874
4354,"Wholesale trade of computer and office furniture and equipment, and other general purpose machinery and equipment",Commerce,2014,,992296.8125,4638.43994140625,445,1.0963293313980103,0.00958226714283228,0.46460574865341187
4361,"Wholesale trade of trucks and new parts for automobiles, pickup trucks and trucks",Commerce,2014,,256984.421875,782.5900268554688,21,2.760673761367798,0.04776114597916603,0.4623768925666809
4371,"Wholesale trade intermediation, except through Internet and other electronic media",Commerce,2014,,2803864.5,11008.6103515625,832,1.250474214553833,0.06763537228107452,0.3584630489349365
4372,Wholesale trade intermediation exclusively through Internet and other electronic media,Commerce,2014,,241269.4375,941.5199584960938,31,2.9289116859436035,-0.009298098273575306,0.7276591062545776
4611,Retail trade of groceries and food,Commerce,2014,,1963936.25,14177.91015625,2327,0.6146408915519714,-0.025834903120994568,0.6537315845489502
4612,"Retail trade of beverages, ice and tobacco",Commerce,2014,,279561.25,1473.81005859375,80,1.285393476486206,-0.02469996176660061,0.7006442546844482
4621,Retail trade in self-service shops,Commerce,2014,,551478.5625,1914.6199951171875,158,0.24737109243869781,-0.003397083841264248,0.5149593949317932
4622,Retail trade in department stores,Commerce,2014,,2083158.25,9724.1201171875,76,1.2613940238952637,-0.03325112536549568,0.6574341058731079
4631,"Retail trade of textile products, except apparel",Commerce,2014,,346269.46875,2602.050048828125,185,1.1035555601119995,-0.0329153798520565,0.6313151121139526
4632,"Retail trade of apparel, costume jewelry and clothing accessories",Commerce,2014,,1280618.125,6587.9501953125,527,1.2612738609313965,-0.03131074830889702,0.6704503297805786
4633,Retail trade of footwear,Commerce,2014,,306318.59375,2103.260009765625,321,0.7045871615409851,-0.03126169741153717,0.6293079853057861
4641,Retail trade of health care items,Commerce,2014,,984343.8125,4618.97021484375,589,0.658058226108551,-0.0300213024020195,0.6524484157562256
4651,Retail trade of perfumery and jewelry products,Commerce,2014,,302224.09375,2036.969970703125,152,0.7831212282180786,-0.02703242376446724,0.6301611661911011
4652,Retail trade of recreational goods,Commerce,2014,,145818.484375,867.8300170898438,150,0.6307194828987122,-0.023660773411393166,0.5943987369537354
4653,"Retail trade of stationery supplies, books, magazines and newspapers",Commerce,2014,,389887.90625,2407.47998046875,401,0.7595499157905579,-0.03076973557472229,0.6313281059265137
4659,"Retail of pets, gifts, religious, disposable and other personal goods",Commerce,2014,,253379.9375,1098.1500244140625,250,0.5407149791717529,-0.02168731391429901,0.6724520921707153
4661,Retail trade of household furniture and other household goods,Commerce,2014,,554147.0625,3621.18994140625,483,0.9092127084732056,-0.023530710488557816,0.6295506358146667
4662,"Retail trade of computer furniture, equipment and accessories; telephones and other communication devices",Commerce,2014,,484109.46875,2522.8701171875,416,0.721466600894928,-0.013695254921913147,0.6389423608779907
4663,Retail trade of interior decorative articles,Commerce,2014,,372993.71875,1858.1500244140625,205,0.9291395545005798,-0.004427304491400719,0.6617819666862488
4664,Retail trade of used goods,Commerce,2014,,5038.16015625,29.279998779296875,6,0.3217497766017914,0.017272617667913437,0.7064473032951355
4671,Retail trade of hardware and glass,Commerce,2014,,2899520.25,13721.150390625,1935,1.1618058681488037,-0.029476594179868698,0.6496932506561279
4681,Retail trade of automobiles and pickup trucks,Commerce,2014,,1561089.5,3865.300048828125,127,1.103939175605774,-0.0083882762119174,0.5708273649215698
4682,"Retail trade of parts for automobiles, pickup trucks and trucks",Commerce,2014,,2454627.25,10255.080078125,1241,1.02567458152771,-0.020832736045122147,0.6453215479850769
4683,"Retail trade of motorcycles, and other motor vehicles",Commerce,2014,,83632.359375,283.25,39,0.8782851696014404,-0.02979312092065811,0.6387461423873901
4684,"Retail trade of fuels, lubricating oils and greases",Commerce,2014,,3414156.25,17036.349609375,709,1.1420338153839111,-0.017186986282467842,0.6290064454078674
4691,"Retail trade exclusively through Internet, and printed catalogs, television and similar media",Commerce,2014,,7280236,33007.7890625,3009,1.5155045986175537,0.020652592182159424,0.4986673593521118
4692,"Retail trade exclusively through Internet, and printed catalogs, television and similar media",Commerce,2014,,9554.1201171875,85.86000061035156,17,0.35091379284858704,0.01072403322905302,0.782228410243988
4811,Scheduled air transportation,"Utilities, Transport & Communications",2014,,159817.484375,225.7100067138672,16,0.14603111147880554,0.008518924936652184,0.8663426041603088
4812,Nonscheduled air transportation,"Utilities, Transport & Communications",2014,,325288.1875,519.5700073242188,15,8.9212646484375,0.040031470358371735,0.8518526554107666
4821,Rail transportation,"Utilities, Transport & Communications",2014,,0,0,0,0,0.019249361008405685,0.8390501737594604
4831,Maritime transportation,"Utilities, Transport & Communications",2014,,1742.18994140625,3.6500000953674316,2,0.017931543290615082,-0.019295552745461464,0.8730698227882385
4832,Inland water transportation,"Utilities, Transport & Communications",2014,,297.1099853515625,4.610000133514404,1,1.753139615058899,-0.010461416095495224,0.7388705015182495
4841,General freight trucking,"Utilities, Transport & Communications",2014,,4909331.5,24839.400390625,2183,1.394513726234436,0.023118825629353523,0.4282546639442444
4842,Specialized freight trucking,"Utilities, Transport & Communications",2014,,2445432,7659.2001953125,390,1.2325339317321777,-0.016212647780776024,0.548530101776123
4851,"Urban and suburban collective passenger transportation, fixed route","Utilities, Transport & Communications",2014,,719223.6875,6220.18017578125,216,1.1192384958267212,-0.0024506687186658382,0.5422422885894775
4852,"Long-distance collective passenger transportation, fixed route","Utilities, Transport & Communications",2014,,28255.8984375,157.91000366210938,3,0.6791012287139893,-0.012093628756701946,0.7274940013885498
4853,Taxi and limousine services,"Utilities, Transport & Communications",2014,,21318.810546875,225.510009765625,80,0.3417682349681854,-0.029875952750444412,0.8130764365196228
4854,School and employee transportation,"Utilities, Transport & Communications",2014,,19509.23046875,138,23,0.23631501197814941,0.04460625723004341,0.519767165184021
4855,Bus rental with driver,"Utilities, Transport & Communications",2014,,722.97998046875,8.430000305175781,3,0.05700351297855377,0.011746127158403397,0.849363386631012
4859,Other passenger transportation by road,"Utilities, Transport & Communications",2014,,753547.75,3534.739990234375,68,0.7440872192382812,-0.013552735559642315,0.5038319826126099
4861,Pipeline transportation of crude oil,"Utilities, Transport & Communications",2014,,0,0,0,,-0.00342201697640121,0.6312976479530334
4862,Pipeline transportation of natural gas,"Utilities, Transport & Communications",2014,,45446.34765625,240.61000061035156,6,1.8678489923477173,0.08952827006578445,0.7697879076004028
4869,Pipeline transportation of other products,"Utilities, Transport & Communications",2014,,10791.4091796875,109.12000274658203,15,9.157736778259277,0.018428200855851173,0.3919835686683655
4871,Sightseeing transportation by land,"Utilities, Transport & Communications",2014,,81076.1484375,405,45,0.5269620418548584,-0.02948581613600254,0.7242006659507751
4872,Sightseeing transportation by water,"Utilities, Transport & Communications",2014,,0,0,0,0,-0.03617345541715622,0.9133210778236389
4879,Other sightseeing transportation,"Utilities, Transport & Communications",2014,,9607.509765625,71.76000213623047,9,0.5572660565376282,-0.0208815298974514,0.6776633262634277
4881,Services related to air transportation,"Utilities, Transport & Communications",2014,,317108.71875,583.75,26,0.5427180528640747,0.05159250274300575,0.4693782925605774
4882,Services related to rail transportation,"Utilities, Transport & Communications",2014,,818565.4375,1281.6500244140625,10,1.21349036693573,0.02641916088759899,0.5352331399917603
4883,Services related to water transportation,"Utilities, Transport & Communications",2014,,29020.890625,117.30000305175781,11,0.08031651377677917,-0.026339199393987656,0.9057486653327942
4884,Services related to road transportation,"Utilities, Transport & Communications",2014,,128647.9609375,698.25,62,0.8087737560272217,-0.019231127575039864,0.630709171295166
4885,Intermediation services for freight transportation,"Utilities, Transport & Communications",2014,,309654.46875,1290.1199951171875,53,0.7872171401977539,0.10662690550088882,0.5837610960006714
4889,Other services related to transportation,"Utilities, Transport & Communications",2014,,1557725,5020.33984375,228,1.7109123468399048,0.01166625414043665,0.4373091459274292
4911,Postal services,"Utilities, Transport & Communications",2014,,24684.267578125,70.52999877929688,8,0.19285064935684204,0.04370301216840744,0.5571491718292236
4921,Long-distance courier and messenger services,"Utilities, Transport & Communications",2014,,131654.703125,743.27001953125,31,1.3882783651351929,0.015837261453270912,0.5095911026000977
4922,Local courier and messenger services,"Utilities, Transport & Communications",2014,,182580.140625,789.8800048828125,39,0.8305613994598389,0.02770039811730385,0.5779873728752136
4931,Warehousing services,"Utilities, Transport & Communications",2014,,1588631.75,5412.35009765625,66,3.2175815105438232,0.037707626819610596,0.49765920639038086
5111,"Newspaper, magazine, book, software and other materials publishing and integrated publishing/printing of these publications","Utilities, Transport & Communications",2014,,283971.71875,1137.3099365234375,80,0.4187392294406891,-0.004912923090159893,0.7089517712593079
5112,"Software publishing, and integrated software publishing/reproduction","Utilities, Transport & Communications",2014,,39380.25,156.74000549316406,15,0.4277594983577728,0.04758504778146744,0.8052244782447815
5121,Film and video industry,"Utilities, Transport & Communications",2014,,145905.921875,317.8999938964844,25,0.13739798963069916,-0.011846709065139294,0.6810165643692017
5122,Sound recording industry,"Utilities, Transport & Communications",2014,,173338.765625,364.9100036621094,5,1.7402445077896118,0.029413409531116486,0.7266107797622681
5151,Radio and television broadcasting,"Utilities, Transport & Communications",2014,,3988.08984375,16.860000610351562,2,0.01957259140908718,-0.022619491443037987,0.6678962707519531
5152,Production of channel programming for cable or satellite television systems,"Utilities, Transport & Communications",2014,,105.52999877929688,1.5700000524520874,1,0.06130152568221092,0.020834913477301598,0.6199883222579956
5161,Internet Publishing and Broadcasting,"Utilities, Transport & Communications",2014,,60497.72265625,104.13999938964844,5,1.2368385791778564,-0.02310996688902378,0.717831552028656
5173,Telecommunications Resellers,"Utilities, Transport & Communications",2014,,8658.9599609375,36.810001373291016,7,0.17871282994747162,0.058914534747600555,0.5705485343933105
5175,Cable and Other Program Distribution,"Utilities, Transport & Communications",2014,,35409.19140625,128.30999755859375,13,0.9709946513175964,-0.0091179721057415,0.5110807418823242
5181,Internet Service Providers and Web Search Portals,"Utilities, Transport & Communications",2014,,2147.389892578125,50.4900016784668,17,0.7986705303192139,0.008971359580755234,0.6199021935462952
5171,Wired telecommunications carriers,"Utilities, Transport & Communications",2014,,808928.4375,776.4400634765625,21,0.2722194790840149,-0.021150734275579453,0.6128386855125427
5172,"Wireless telecommunications carriers, except satellite services","Utilities, Transport & Communications",2014,,39577.66015625,204.80999755859375,37,0.09479428827762604,0.021554939448833466,0.6191505193710327
5174,Satellite telecommunications services,"Utilities, Transport & Communications",2014,,2204.630126953125,19.8700008392334,7,1.0224010944366455,0.06386134773492813,0.4500599503517151
5179,Other telecommunications services,"Utilities, Transport & Communications",2014,,1148493.5,2704.159912109375,157,1.0536479949951172,-0.01662861742079258,0.6593648195266724
5182,"Electronic data processing, hosting, and other related services","Utilities, Transport & Communications",2014,,10446.400390625,51.06999969482422,18,0.29003530740737915,0.016263069584965706,0.7812952995300293
5191,Other information services,"Utilities, Transport & Communications",2014,,11426.19921875,60.79999923706055,12,0.19077667593955994,0.03404858335852623,0.5682190656661987
5211,Central bank,"Finance, Real Estate & Professional Services",2014,,0,0,0,0,0.08620334416627884,0.9630201458930969
5221,Multiple banking,"Finance, Real Estate & Professional Services",2014,,438553.34375,1876.3900146484375,69,0.21537600457668304,-0.010441464371979237,0.6313461065292358
5222,Financial institutions for economic development,"Finance, Real Estate & Professional Services",2014,,36893.8671875,42.209999084472656,4,0.04952697828412056,-0.013518850319087505,0.6360774040222168
5223,Credit unions and saving institutions,"Finance, Real Estate & Professional Services",2014,,162925.890625,389.1700134277344,27,0.2261093705892563,-0.024055738002061844,0.6706042289733887
5224,"Other credit and financial intermediation institutions, non-stock exchange","Finance, Real Estate & Professional Services",2014,,271181.15625,878.8400268554688,86,0.5756490230560303,-0.023222513496875763,0.6399818062782288
5225,"Services related to credit intermediation, non-stock exchange","Finance, Real Estate & Professional Services",2014,,25196.23046875,110.5,8,0.40131092071533203,-0.029160019010305405,0.6260936260223389
5231,"Brokerage houses, foreign currency exchange houses and exchange offices","Finance, Real Estate & Professional Services",2014,,11189.990234375,67.87000274658203,13,0.11310122162103653,0.011839304119348526,0.7629376649856567
5232,Stock exchange,"Finance, Real Estate & Professional Services",2014,,0,0,0,0,0.002989263739436865,0.7762232422828674
5239,Investment advice and other services related to stock exchange intermediation,"Finance, Real Estate & Professional Services",2014,,3944288,19317.87890625,105,3.8441905975341797,0.00042068265611305833,0.42232465744018555
5241,Insurance and surety institutions,"Finance, Real Estate & Professional Services",2014,,598252.5,824.4099731445312,16,0.508339524269104,0.03939465060830116,0.8266317844390869
5242,Services related to insurance and surety,"Finance, Real Estate & Professional Services",2014,,183599.109375,789.1499633789062,166,0.5381595492362976,0.0004272056103218347,0.5626522302627563
5311,Rental of real estate without intermediation,"Finance, Real Estate & Professional Services",2014,,1529236.5,7335.91015625,988,1.0120147466659546,-0.024558061733841896,0.6357198357582092
5312,Real estate agencies and brokers,"Finance, Real Estate & Professional Services",2014,,400040.5625,1332.050048828125,110,0.8210293650627136,-0.0050195809453725815,0.6696960926055908
5313,Services related to real estate,"Finance, Real Estate & Professional Services",2014,,1204565.625,4514.3798828125,334,0.7493411302566528,-0.006959913298487663,0.6601582765579224
5321,"Rental of automobiles, trucks and other road transportation vehicles","Finance, Real Estate & Professional Services",2014,,10631.1904296875,57.540000915527344,23,0.10351135581731796,0.007163603790104389,0.6975046396255493
5322,Rental of household and personal goods,"Finance, Real Estate & Professional Services",2014,,93345.0625,565.52001953125,112,0.9164064526557922,-0.002330382587388158,0.5831997990608215
5323,General rental centers,"Finance, Real Estate & Professional Services",2014,,17419.720703125,127.23999786376953,33,0.9095730185508728,0.02148861065506935,0.5973542928695679
5324,"Rental of agricultural, fishing, industrial, commercial and services machinery and equipment","Finance, Real Estate & Professional Services",2014,,1043579.125,2822.35009765625,206,1.1245954036712646,-0.011371239088475704,0.684624969959259
5331,"Rental services of trademarks, patents and franchises","Finance, Real Estate & Professional Services",2014,,6743.830078125,20.3799991607666,5,0.2985323965549469,0.05828702077269554,0.5491752028465271
5411,Legal services,"Finance, Real Estate & Professional Services",2014,,639031.25,3114.989990234375,339,0.5520550012588501,-0.019514640793204308,0.7471671104431152
5412,"Accounting, auditing and related services","Finance, Real Estate & Professional Services",2014,,3834520.75,16810.970703125,1273,0.7174230813980103,-0.01238871831446886,0.6600972414016724
5413,"Architecture, engineering and related activities services","Finance, Real Estate & Professional Services",2014,,583717.6875,2859.860107421875,353,0.7700116038322449,-0.0054762414656579494,0.5895191431045532
5414,Specialized design,"Finance, Real Estate & Professional Services",2014,,323856.875,1873.1800537109375,155,1.7259398698806763,0.05981720611453056,0.44740331172943115
5415,Computer systems design and related services,"Finance, Real Estate & Professional Services",2014,,1062027.375,3519.469970703125,350,0.6227830052375793,0.11842642724514008,0.6087034940719604
5416,"Management, scientific and technical consulting services","Finance, Real Estate & Professional Services",2014,,17290474,56467.80078125,946,0.976567804813385,0.040738899260759354,0.4118284583091736
5417,Scientific research and development services,"Finance, Real Estate & Professional Services",2014,,283050.875,766.25,42,0.4244898557662964,0.008031175471842289,0.6301307678222656
5418,Advertising services and related activities,"Finance, Real Estate & Professional Services",2014,,897068.4375,5074.77978515625,437,0.7307164669036865,-0.005922304000705481,0.6892574429512024
5419,"Other professional, scientific and technical services","Finance, Real Estate & Professional Services",2014,,11545090,35051.4921875,1263,0.8470454812049866,0.01616411842405796,0.41499948501586914
5511,Head offices,Business & Related Services,2014,,601859.9375,1036.5599365234375,32,0.4252977669239044,0.03802906721830368,0.5821382999420166
5611,Business administration services,Business & Related Services,2014,,5353171,14511.0703125,254,0.8511484265327454,0.016690373420715332,0.5744326114654541
5612,Facilities support services,Business & Related Services,2014,,205781.984375,1358.469970703125,135,0.8562235832214355,0.03568482771515846,0.5937374830245972
5613,Employment services,Business & Related Services,2014,,18604124,56324.359375,476,1.0093169212341309,0.008608389645814896,0.531584620475769
5614,"Secretarial support, photocopying, collection, credit investigation and similar services",Business & Related Services,2014,,2967193.5,10049.330078125,158,1.9507733583450317,0.09265078604221344,0.48614275455474854
5615,Travel agencies and reservation services,Business & Related Services,2014,,90214.7890625,427.80999755859375,98,0.28910693526268005,-0.021534139290452003,0.6670230627059937
5616,"Investigation, protection and security services",Business & Related Services,2014,,2377825,18363.390625,464,0.8746405243873596,0.031152982264757156,0.554775595664978
5617,Cleaning services,Business & Related Services,2014,,1267199.625,12822.1806640625,534,0.9124779105186462,0.0448928028345108,0.5308429598808289
5619,Other business support services,Business & Related Services,2014,,54180076,189663.296875,2627,1.3675616979599,-0.003011745400726795,0.6362030506134033
5621,Waste management and remediation services,Business & Related Services,2014,,199470.671875,1064.9000244140625,83,0.9974778890609741,0.035387374460697174,0.39207226037979126
6111,"Basic, middle and special needs education schools",Education & Health Services,2014,,6061258.5,22589.259765625,1030,1.121669054031372,-0.017886340618133545,0.616517186164856
6112,Higher technical education schools,Education & Health Services,2014,,11436.740234375,67.13999938964844,7,1.7383496761322021,0.03547514230012894,0.49962562322616577
6113,Higher education schools,Education & Health Services,2014,,3518578.25,7166.7900390625,121,0.47803157567977905,-0.02506006881594658,0.6719965934753418
6114,"Business, computer and management training schools",Education & Health Services,2014,,44375.94140625,248.35000610351562,37,1.6879887580871582,-0.02668645791709423,0.5955690145492554
6115,Trade schools,Education & Health Services,2014,,27439.23046875,134.6199951171875,22,0.8773488402366638,0.0007482455112040043,0.46550047397613525
6116,Other educational services,Education & Health Services,2014,,3206290.75,11723.169921875,561,1.5667146444320679,-0.004524474497884512,0.586012601852417
6117,Educational support services,Education & Health Services,2014,,4558.06982421875,66.2300033569336,13,1.472151756286621,0.013140277937054634,0.6454534530639648
