"hs4","color","product_id"
"8441","#53bdff",1009
"8442","#53bdff",1010
"8443","#53bdff",1011
"8444","#53bdff",1012
"8445","#53bdff",1013
"8446","#53bdff",1014
"8447","#53bdff",1015
"8448","#53bdff",1016
"8449","#53bdff",1017
"8450","#53bdff",1018
"8451","#53bdff",1019
"8452","#53bdff",1020
"8453","#53bdff",1021
"8454","#53bdff",1022
"8455","#53bdff",1023
"8456","#53bdff",1024
"8457","#53bdff",1025
"8458","#53bdff",1026
"8459","#53bdff",1027
"8460","#53bdff",1028
"8461","#53bdff",1029
"8462","#53bdff",1030
"8463","#53bdff",1031
"8464","#53bdff",1032
"8465","#53bdff",1033
"8466","#53bdff",1034
"8467","#53bdff",1035
"8468","#53bdff",1036
"8469","#53bdff",1037
"8470","#53bdff",1038
"8471","#53bdff",1039
"8472","#53bdff",1040
"8473","#53bdff",1041
"8474","#53bdff",1042
"8475","#53bdff",1043
"8476","#53bdff",1044
"8477","#53bdff",1045
"8478","#53bdff",1046
"8479","#53bdff",1047
"8480","#53bdff",1048
"8481","#53bdff",1049
"8482","#53bdff",1050
"8483","#53bdff",1051
"8484","#53bdff",1052
"8485","#53bdff",1053
"8501","#53bdff",1054
"8502","#53bdff",1055
"8503","#53bdff",1056
"8504","#53bdff",1057
"8505","#53bdff",1058
"8506","#53bdff",1059
"8507","#53bdff",1060
"8508","#53bdff",1061
"8509","#53bdff",1062
"8510","#53bdff",1063
"8511","#53bdff",1064
"8512","#53bdff",1065
"8513","#53bdff",1066
"8514","#53bdff",1067
"8515","#53bdff",1068
"8516","#53bdff",1069
"8517","#53bdff",1070
"8518","#53bdff",1071
"8519","#53bdff",1072
"8520","#53bdff",1073
"8521","#53bdff",1074
"8522","#53bdff",1075
"8523","#53bdff",1076
"8524","#53bdff",1077
"8525","#53bdff",1078
"8526","#53bdff",1079
"8527","#53bdff",1080
"8528","#53bdff",1081
"8529","#53bdff",1082
"8530","#53bdff",1083
"8531","#53bdff",1084
"8532","#53bdff",1085
"8533","#53bdff",1086
"8534","#53bdff",1087
"8535","#53bdff",1088
"8536","#53bdff",1089
"8537","#53bdff",1090
"8538","#53bdff",1091
"8539","#53bdff",1092
"8540","#53bdff",1093
"8541","#53bdff",1094
"8542","#53bdff",1095
"8543","#53bdff",1096
"8544","#53bdff",1097
"8545","#53bdff",1098
"8546","#53bdff",1099
"8547","#53bdff",1100
"8548","#53bdff",1101
"8601","#c5e9ff",1102
"8602","#c5e9ff",1103
"8603","#c5e9ff",1104
"8604","#c5e9ff",1105
"8605","#c5e9ff",1106
"8606","#c5e9ff",1107
"8607","#c5e9ff",1108
"8608","#c5e9ff",1109
"8609","#c5e9ff",1110
"8701","#c5e9ff",1111
"8702","#c5e9ff",1112
"8703","#c5e9ff",1113
"8704","#c5e9ff",1114
"8705","#c5e9ff",1115
"8706","#c5e9ff",1116
"8707","#c5e9ff",1117
"8708","#c5e9ff",1118
"8709","#c5e9ff",1119
"8710","#c5e9ff",1120
"8711","#c5e9ff",1121
"8712","#c5e9ff",1122
"8713","#c5e9ff",1123
"8714","#c5e9ff",1124
"8715","#c5e9ff",1125
"8716","#c5e9ff",1126
"8801","#c5e9ff",1127
"8802","#c5e9ff",1128
"8803","#c5e9ff",1129
"8804","#c5e9ff",1130
"8805","#c5e9ff",1131
"8901","#c5e9ff",1132
"8902","#c5e9ff",1133
"8903","#c5e9ff",1134
"8904","#c5e9ff",1135
"8905","#c5e9ff",1136
"8906","#c5e9ff",1137
"8907","#c5e9ff",1138
"8908","#c5e9ff",1139
"9001","#949494",1140
"9002","#949494",1141
"9003","#949494",1142
"9004","#949494",1143
"9005","#949494",1144
"9006","#949494",1145
"9007","#949494",1146
"9008","#949494",1147
"9009","#949494",1148
"9010","#949494",1149
"9011","#949494",1150
"9012","#949494",1151
"9013","#949494",1152
"9014","#949494",1153
"9015","#949494",1154
"9016","#949494",1155
"9017","#949494",1156
"9018","#949494",1157
"9019","#949494",1158
"9020","#949494",1159
"9021","#949494",1160
"9022","#949494",1161
"9023","#949494",1162
"9024","#949494",1163
"9025","#949494",1164
"9026","#949494",1165
"9027","#949494",1166
"9028","#949494",1167
"9029","#949494",1168
"9030","#949494",1169
"9031","#949494",1170
"9032","#949494",1171
"9033","#949494",1172
"9101","#949494",1173
"9102","#949494",1174
"9103","#949494",1175
"9104","#949494",1176
"9105","#949494",1177
"9106","#949494",1178
"9107","#949494",1179
"9108","#949494",1180
"9109","#949494",1181
