id	name_3char	name_en
259	PSE	Palestinian Territory, Occupied
260	NTZ	Neutral Zone
261	NULL	EEC NES
262	NULL	Eur.Other NE
263	NULL	Oth.Oceania
264	XXD	LAIA NES
265	XXC	E Europe NES
266	NULL	China FTZ
267	NULL	Carib. NES
268	NULL	China SC
269	NULL	Int Org
270	NULL	Eur. EFTA NS
271	XXN	Africa N.NES
272	ATA	Antarctica
273	BVT	Bouvet Island
274	IOT	British Indian Ocean Territory
275	VGB	Virgin Islands, British
276	NULL	EU25
277	CXR	Christmas Island
278	CCK	Cocos (Keeling) Islands
279	COK	Cook Islands
280	CSK	Czechoslovakia
281	NULL	Ethiopia (before Eritrea split away in 1993)
282	SGS	South Georgia and the South Sandwich Islands
283	NULL	France (alt)
284	XXI	Fr. South Antarctic Terr.
285	HMD	Heard Island and McDonald Islands
286	VAT	Holy See (Vatican City State)
287	NULL	Italy (alt)
288	NULL	Sarawak
289	NULL	Malaysia, Peninsula
290	NULL	Sabah
291	NULL	South America, NES
292	MTQ	Martinique
293	NULL	Midway
294	MSR	Montserrat
295	NRU	Nauru
296	XXH	Oceania, NES
297	NULL	Netherlands Antilles and Aruba
298	NULL	New Zealand (alt)
299	XXM	Europe NES
300	NIU	Niue
301	NFK	Norfolk Island
302	XXK	Africa, NES
303	NULL	Norway (alt)
304	UMI	United States Minor Outlying Islands
305	PCI	Fmr Pacific Isds
306	NULL	East and West Pakistan
307	NULL	Fmr Panama, excl.Canal Zone
308	NULL	Fmr Panama-Canal-Zone
309	PCN	Pitcairn
310	XXF	North and Central America, nes
311	REU	Réunion
312	NULL	Ryukyu Island
313	NULL	Saint Kitts, Nevis and Anguilla
314	AIA	Anguilla
315	NULL	Sikkim
316	NULL	India (alt)
317	NULL	So. African Customs Union
318	NULL	Fmr Rhodesia Nyas
319	ESH	Western Sahara
320	SJM	Svalbard and Jan Mayen
321	NULL	Switzerland (alt)
322	TKL	Tokelau
323	NULL	Fmr Tanganyika
324	NULL	Fmr Zanzibar and Pemba Isd
325	XXE	Bunkers
326	XXL	Free Zones
327	NULL	Secret & Differences
328	NULL	USA (before 1981)
329	NULL	United States (alt)
330	NULL	Fmr Dem. Rep. of Vietnam
331	NULL	Fmr Rep. of Vietnam
332	NULL	Wake Island
333	WLF	Wallis and Futuna
334	SCG	Serbia and Montenegro
335	NULL	France, including Monaco, excluding Guadeloupe, Martinique, Reunion and French Guiana
336	NULL	Italy, including San Marino
337	PUS	US Misc. Pacific Isds
338	NULL	NES
339	SSD	South Sudan
340	NULL	America NES
341	NULL	Central America Common Market
342	NULL	European Free Trade Association EFTA
343	NULL	Africa NES
344	ATF	NULL
345	TMP	NULL
